filename,width,height,class,xmin,ymin,xmax,ymax
pos_1456_jpg.rf.002ff77e2d60d75fc45dbdd153eb1cd2.jpg,1280,720,vest,450,371,553,528
pos_543_jpg.rf.0035ae0e051406978b3e8f8b3e14629f.jpg,800,800,vest,290,110,745,760
pos_543_jpg.rf.0035ae0e051406978b3e8f8b3e14629f.jpg,800,800,vest,59,34,462,615
Image80_jpg.rf.0059dd736b12bbda1bee611ba38b2379.jpg,416,416,vest,237,25,415,186
Image80_jpg.rf.0059dd736b12bbda1bee611ba38b2379.jpg,416,416,vest,0,187,193,415
Image80_jpg.rf.0059dd736b12bbda1bee611ba38b2379.jpg,416,416,vest,330,220,415,412
pos_1610_jpg.rf.006ce3ccb1d2457f64d3dd45af7e65d3.jpg,1280,720,vest,146,600,977,719
ppe_0364_jpg.rf.00c3e72b36136e92ff0b180f09975ada.jpg,970,1030,vest,238,398,794,1023
pos_568_jpg.rf.00b19d5cfb1f02e4413399a8687ae1a4.jpg,250,250,vest,9,35,123,201
pos_568_jpg.rf.00b19d5cfb1f02e4413399a8687ae1a4.jpg,250,250,vest,109,33,239,232
pos_1917_jpg.rf.01472eec587e67d31af398b215729993.jpg,1280,720,vest,542,306,663,424
pos_1917_jpg.rf.01472eec587e67d31af398b215729993.jpg,1280,720,vest,790,304,903,414
ppe_0837_jpg.rf.01623378c98c3bb2d0b122bf54c5688c.jpg,1500,1000,vest,625,656,729,819
ppe_0837_jpg.rf.01623378c98c3bb2d0b122bf54c5688c.jpg,1500,1000,vest,875,702,953,854
pos_1384_jpg.rf.0100734aaf73652f32570b0176c0924d.jpg,492,360,vest,6,127,52,263
pos_1384_jpg.rf.0100734aaf73652f32570b0176c0924d.jpg,492,360,vest,49,134,90,249
pos_1384_jpg.rf.0100734aaf73652f32570b0176c0924d.jpg,492,360,vest,149,129,231,259
pos_2079_jpg.rf.01be2705c0997fb41b8058f58e07d686.jpg,1280,720,vest,125,253,332,544
image_126_jpg.rf.0202622195552d50899ec208e753c504.jpg,640,480,vest,269,162,384,246
ppe_0004_jpg.rf.01e6404cc64d7753a86c1c37105fbff7.jpg,1200,1200,vest,812,910,1196,1190
ppe_0004_jpg.rf.01e6404cc64d7753a86c1c37105fbff7.jpg,1200,1200,vest,552,417,722,616
ppe_0004_jpg.rf.01e6404cc64d7753a86c1c37105fbff7.jpg,1200,1200,vest,62,730,442,1146
pos_10_jpg.rf.01de6ed83877ec10d8b66cd438f31314.jpg,500,333,vest,349,173,499,325
pos_10_jpg.rf.01de6ed83877ec10d8b66cd438f31314.jpg,500,333,vest,186,138,398,276
pos_1974_jpg.rf.019f3ed5948b74d5cee59d6a70c7d708.jpg,1280,720,vest,0,214,252,553
pos_1974_jpg.rf.019f3ed5948b74d5cee59d6a70c7d708.jpg,1280,720,vest,685,227,913,557
pos_1974_jpg.rf.019f3ed5948b74d5cee59d6a70c7d708.jpg,1280,720,vest,896,237,1140,506
pos_2029_jpg.rf.02c702ed958e0ef457082cac8b9f1fa4.jpg,1280,720,vest,246,393,771,718
ppe_0423_jpg.rf.00da54b34d119cb85f2045b7e34610c9.jpg,800,476,vest,225,142,331,306
ppe_0423_jpg.rf.00da54b34d119cb85f2045b7e34610c9.jpg,800,476,vest,431,135,546,330
ppe_0023_jpg.rf.01ef78c11fa7307ceabb7db0b4ca1ce7.jpg,540,304,no-vest,288,129,358,214
ppe_0023_jpg.rf.01ef78c11fa7307ceabb7db0b4ca1ce7.jpg,540,304,vest,346,129,419,221
ppe_0023_jpg.rf.01ef78c11fa7307ceabb7db0b4ca1ce7.jpg,540,304,vest,117,126,194,225
ppe_0023_jpg.rf.01ef78c11fa7307ceabb7db0b4ca1ce7.jpg,540,304,vest,211,128,285,231
ppe_0023_jpg.rf.01ef78c11fa7307ceabb7db0b4ca1ce7.jpg,540,304,vest,0,114,119,304
ppe_0023_jpg.rf.01ef78c11fa7307ceabb7db0b4ca1ce7.jpg,540,304,vest,417,164,539,297
image_183_jpg.rf.0337f460bc6c6582772dff4f0c63d43d.jpg,640,480,vest,233,173,350,252
image_153_jpg.rf.023c9664bd2ffd205a8a75b9ce5970f5.jpg,640,480,vest,263,158,371,257
pos_577_jpg.rf.0325128e7671fc3b8cb27033d07e6e3c.jpg,600,600,vest,98,7,498,594
ppe_0618_jpg.rf.027f6f47428ca43d2aae87bb248a8777.jpg,1300,956,vest,121,182,467,686
ppe_0618_jpg.rf.027f6f47428ca43d2aae87bb248a8777.jpg,1300,956,vest,468,279,795,805
img_032_jpg.rf.0329b3b3ec5f998e32e691203ccb1bdc.jpg,416,416,vest,0,84,156,202
img_032_jpg.rf.0329b3b3ec5f998e32e691203ccb1bdc.jpg,416,416,vest,295,0,409,202
img_032_jpg.rf.0329b3b3ec5f998e32e691203ccb1bdc.jpg,416,416,vest,134,271,202,402
img_032_jpg.rf.0329b3b3ec5f998e32e691203ccb1bdc.jpg,416,416,vest,29,272,142,415
img_032_jpg.rf.0329b3b3ec5f998e32e691203ccb1bdc.jpg,416,416,vest,221,246,238,279
img_032_jpg.rf.0329b3b3ec5f998e32e691203ccb1bdc.jpg,416,416,vest,295,203,347,415
img_032_jpg.rf.0329b3b3ec5f998e32e691203ccb1bdc.jpg,416,416,vest,385,203,415,415
pos_1770_jpg.rf.024c3eeb148873dc6d982978b8aed1bf.jpg,1280,720,vest,541,320,624,433
pos_1770_jpg.rf.024c3eeb148873dc6d982978b8aed1bf.jpg,1280,720,vest,594,335,691,467
pos_2121_jpg.rf.0269569042997487a14d7fee7831bf92.jpg,1280,720,vest,342,189,501,456
pos_2121_jpg.rf.0269569042997487a14d7fee7831bf92.jpg,1280,720,vest,483,151,601,378
pos_1673_jpg.rf.0272e2cdeee5818a498f873f9d6d8a0a.jpg,1280,720,vest,67,265,548,717
img_037_jpg.rf.0157f7778cc4b3d0e570248a40e4af6b.jpg,416,416,vest,253,87,357,248
img_037_jpg.rf.0157f7778cc4b3d0e570248a40e4af6b.jpg,416,416,vest,26,301,159,415
pos_1367_jpg.rf.02ea7bc1eb775e9fe036c2f292eaf1e8.jpg,1280,720,vest,155,278,446,519
pos_1367_jpg.rf.02ea7bc1eb775e9fe036c2f292eaf1e8.jpg,1280,720,vest,808,202,1162,616
image_152_jpg.rf.038befeedff2275920880cc7fbef9d7e.jpg,640,480,vest,279,167,385,254
pos_471_jpg.rf.03e347ab7c36007d3004f32fcd2b97f3.jpg,500,500,vest,57,12,439,486
ppe_0201_jpg.rf.039be7885217a98852a613facf45f73e.jpg,1300,959,no-vest,246,405,766,842
ppe_1267_jpg.rf.039a07916f2f7c35285c28c2de50f18a.jpg,1920,1080,no-vest,471,402,536,477
ppe_1267_jpg.rf.039a07916f2f7c35285c28c2de50f18a.jpg,1920,1080,no-vest,353,410,400,474
ppe_1267_jpg.rf.039a07916f2f7c35285c28c2de50f18a.jpg,1920,1080,no-vest,600,398,650,489
ppe_1267_jpg.rf.039a07916f2f7c35285c28c2de50f18a.jpg,1920,1080,no-vest,735,410,797,494
ppe_1267_jpg.rf.039a07916f2f7c35285c28c2de50f18a.jpg,1920,1080,no-vest,273,434,331,511
ppe_0310_jpg.rf.026119112901da1b1a82b871d4530378.jpg,960,1000,vest,391,312,921,1000
ppe_0699_jpg.rf.031acffbfb0931366064ae48233123fe.jpg,1000,665,no-vest,670,209,930,428
36547872586_1d2ecf5383_b_jpg.rf.03eb20eac3a054fc954e7a19902e5d11.jpg,1024,681,vest,1,334,401,679
36547872586_1d2ecf5383_b_jpg.rf.03eb20eac3a054fc954e7a19902e5d11.jpg,1024,681,no-vest,564,427,1002,678
ppe_0159_jpg.rf.0387b10f4e0b9dface6c58960de556ea.jpg,1024,683,vest,357,336,647,634
ppe_0159_jpg.rf.0387b10f4e0b9dface6c58960de556ea.jpg,1024,683,no-vest,51,320,343,672
image_168_jpg.rf.03ede1016d3088d231ac3ff836817f88.jpg,640,480,vest,242,175,348,253
pos_472_jpg.rf.0392682479c14a378e2a9b24302bcf2d.jpg,1280,640,vest,141,60,506,625
pos_1772_jpg.rf.04056d20389410b1398d8a15f17c7cdc.jpg,1280,720,vest,418,297,527,436
pos_1772_jpg.rf.04056d20389410b1398d8a15f17c7cdc.jpg,1280,720,vest,534,313,653,477
pos_319_jpg.rf.03ee7607c098b51fb70ae618af443d9f.jpg,663,779,vest,43,22,627,734
image_29_jpg.rf.04163ec72959628190fd8260ea955afc.jpg,640,480,vest,227,161,422,417
img_022_jpg.rf.0446bc5c4553abf9ccbe5a943dbf42dc.jpg,416,416,vest,102,50,189,202
img_022_jpg.rf.0446bc5c4553abf9ccbe5a943dbf42dc.jpg,416,416,vest,370,86,415,202
img_022_jpg.rf.0446bc5c4553abf9ccbe5a943dbf42dc.jpg,416,416,vest,256,61,381,202
img_022_jpg.rf.0446bc5c4553abf9ccbe5a943dbf42dc.jpg,416,416,vest,203,110,273,202
img_022_jpg.rf.0446bc5c4553abf9ccbe5a943dbf42dc.jpg,416,416,vest,268,203,415,415
image_174_jpg.rf.04d7b0e69999588e954a96e1d0ff4e0e.jpg,640,480,vest,190,165,297,246
pos_2064_jpg.rf.04661beaaa868b9f8811154178a15390.jpg,1280,720,vest,565,48,755,349
pos_1357_jpg.rf.04c5659e966739a4fe3aabac8105e678.jpg,1280,720,vest,410,211,652,581
pos_1357_jpg.rf.04c5659e966739a4fe3aabac8105e678.jpg,1280,720,vest,775,129,1063,504
ppe_0922_jpg.rf.04c689bd77329121008ce9cba8e1248d.jpg,305,450,vest,50,76,104,130
ppe_0922_jpg.rf.04c689bd77329121008ce9cba8e1248d.jpg,305,450,vest,115,278,159,338
pos_266_jpg.rf.050ba4e9ddccbf0361cbcb8f49bfc306.jpg,309,500,vest,15,13,295,496
pos_1879_jpg.rf.043dd1bf7a4605b015c3326b3ccb2ca3.jpg,1280,720,vest,478,218,902,715
image_156_jpg.rf.050bad34dbabca2d4b5dfa20104f9917.jpg,640,480,vest,200,165,298,246
construction_worker_man_people_job_helmet_safety_vest_construction_sector-690436_jpg.rf.04f11016c28a9c050a5925c5290b7ae9.jpg,1200,1803,vest,92,1023,986,1799
ppe_0270_jpg.rf.0550225fed9a24220815ffc5755925a7.jpg,991,991,no-vest,28,103,285,472
ppe_0270_jpg.rf.0550225fed9a24220815ffc5755925a7.jpg,991,991,vest,605,200,842,563
pos_531_jpg.rf.059a85041084587a5d79cc65200161f4.jpg,500,500,vest,78,46,414,456
pos_2019_jpg.rf.048e5c31c067adc74f50848c3c914b79.jpg,1280,720,vest,561,386,871,717
00379_jpg.rf.04fa18a828d0248d5c5d1250dc707cbd.jpg,1024,683,vest,361,196,611,509
00379_jpg.rf.04fa18a828d0248d5c5d1250dc707cbd.jpg,1024,683,vest,611,204,832,575
00379_jpg.rf.04fa18a828d0248d5c5d1250dc707cbd.jpg,1024,683,vest,44,223,331,565
pos_663_jpg.rf.05e69159416e1b5cd0b1c398751331ff.jpg,550,550,vest,112,95,426,500
pos_511_jpg.rf.04f610daa35982258039c0d42664f06c.jpg,423,282,vest,42,35,182,236
pos_511_jpg.rf.04f610daa35982258039c0d42664f06c.jpg,423,282,vest,245,54,420,226
pos_2160_jpg.rf.061597a797e45e00ed8b12730afe7012.jpg,1280,720,vest,347,210,476,361
ppe_0138_jpg.rf.04e1b12742757a5d4241d460a16cfd96.jpg,700,807,vest,216,300,672,799
pos_1407_jpg.rf.060133befbd9853bf3b41dcf984cee79.jpg,1280,720,vest,1098,24,1279,395
pos_1407_jpg.rf.060133befbd9853bf3b41dcf984cee79.jpg,1280,720,vest,334,309,884,719
sm170719-Z-YL554-001_jpg.rf.057b54b614125f90f7394447050020f1.jpg,343,200,no-vest,95,106,169,185
sm170719-Z-YL554-001_jpg.rf.057b54b614125f90f7394447050020f1.jpg,343,200,no-vest,185,92,250,177
sm170719-Z-YL554-001_jpg.rf.057b54b614125f90f7394447050020f1.jpg,343,200,no-vest,277,93,342,181
ppe_0581_jpg.rf.067abcbda5c04132f721140a90116848.jpg,499,333,no-vest,425,148,493,259
ppe_0581_jpg.rf.067abcbda5c04132f721140a90116848.jpg,499,333,no-vest,146,191,177,237
ppe_0581_jpg.rf.067abcbda5c04132f721140a90116848.jpg,499,333,no-vest,29,200,51,232
ppe_0581_jpg.rf.067abcbda5c04132f721140a90116848.jpg,499,333,no-vest,214,188,253,247
ppe_0581_jpg.rf.067abcbda5c04132f721140a90116848.jpg,499,333,no-vest,113,196,139,243
ppe_0581_jpg.rf.067abcbda5c04132f721140a90116848.jpg,499,333,no-vest,82,204,103,242
ppe_0581_jpg.rf.067abcbda5c04132f721140a90116848.jpg,499,333,no-vest,302,184,350,263
